National winegrape bearing area (hectares) in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castelao Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,
Castelino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,,,,,
Castelo Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Castiglione,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,
Catalanesca,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,
Catanese Nero,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
Catarratto Bianco,,,,,,,,,,,,,,,,,,,34794,,,,,,,,,,,,,,,,,,,,,,,,68,
Catawba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,
Cavrara,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,
Cavus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
Cayetana Blanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,39593,,,,,,,,
Cayuga White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,
Cellerina,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Centesimino,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,
Centurian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,
Cerceal Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,,,,,,,,,,,,,,,
Cereza,,29189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesanese,,,,,,,,,,,,,,,,,,,679,,,,,,,,,,,,,,,,,,,,,,,,,
Cetinka,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chambourcin,,,,,,,,54,,,,,,758,,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,311,
Chancellor,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,
Chardonel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,
Chardonnay,,6473,,27773,1380,377,2457,1178,13082,738,668,128,766,44593,,1180,586,2757,19709,602,,16,,5134,,1,3911,1,803,1067,1981,,310,1208,8278,6958,321,,,142,2985,235,40846,149
Charmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
Chasan,,,,,,,,,,,,,,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasselas,,,,,,3,,5,88,,21,,,2441,,1120,,1892,34,,,,,,,,2,,76,,21,3450,,,,20,4013,,,,,,,
Chasselas Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Chasselas Sabor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Chatus,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
Chelois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Chelva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6168,,,,,,,,
Chenanson,,,,,,,,,,,,,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,
Chenin Blanc,,2462,,541,,18,,7,57,10,,,,9828,,,,6,45,,,,275,,,1,50,2,0,,,,,,18515,100,6,13,,,,,3221,7
Chinuri,,,,,,,,,,,,,,,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chkhaveri,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cianorie,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Cidreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Ciliegiolo,,,,,,,,,,,,,,,,,,,1830,,,,,,,,,,,,,,,,,,,,,,,,,
Cinsaut,7550,1,,,,,,,198,3,,,,20800,,,43,,51,,,,,,3940,,,,16,,,,,,2052,,,,842,500,,,45,
Cinsaut Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
Cinsaut Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,
Citronny Magarach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,
Cividin,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Clairette,,,,,,0,,,,,,,,2405,,,,,183,,,,,,,,,,,,22,,,,290,,,,,,,,,
Clairette Rose,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cococciola,,,,,,,,,,,,,,,,,,,983,,,,,,,,,,,,,,,,,,,,,,,,,
Coda di Volpe Bianca,,,,,,,,,,,,,,,,,,,586,,,,,,,,,,,,,,,,,,,,,,,,,
Codega de Larinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,,,,,,,,,,,,,,,
Codrinski,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
Colgadero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
Colobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Colombana Nera,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,
Colombard,,,,2205,,46,,,,,,,,7790,,,,,,,,,,,,,,,,,,,,,11990,4,,11,,,,,10025,4
Colomino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Coloraillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,,,,,,,,
Completer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Complexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,
Concieira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,
Concord,,,,,,3543,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8421,22
Coracao De Galo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Corbina Vicentina,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
Cordenossa,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Cornalin,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,244,,,,,,,
Cornarea,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
Cornifesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,,,,,,,,,,,,,,,
Corot Noir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,
Corropio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Cortese,,,,,,,,,,,,,,,,,,,2953,,,,,,,,,,,,,,,,,,,,,,,,,
Corvina Veronese,,19,,,,0,,,,,,,,,,,,,7477,,,,,,,,,,,,,,,,,,,,,,,,,
Corvinone,,1,,,,,,,,,,,,,,,,,929,,,,,,,,,,,,,,,,,,,,,,,,,
Corvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Cot,,31047,,356,,37,,39,1264,,,,,6155,,,,0,260,,,,,39,,,156,10,,,,,,,450,93,10,,,13,,,717,41
Couderc,,,,,,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Couderc Noir,,,,,,2477,,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counoise,,,,,,,,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cove,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Cramposie Selectionata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,,,,
Crimson Cabernet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Crimson Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Criolla Grande,,17080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criolla Mediana,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatina,,16,,,,,,,,,,,,,,,,,5684,,,,,,,,,,,,,,,,,,,,,,,,,
Crouchen,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,,,,,,,,,
Crovassa,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,171,,,,,,,,,,,,,
Cs.2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Csaba Gyongye,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,
Cserszegi Fuszeres,,,,,,,,,,,,,,,,,,3609,,,,,,,,,,,,,,,,,,,,,,,,,,
Csillam,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Csokaszolo,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Csomorika,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dakapo,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
Damaschino,,586,,,,,,,,,,,,,,,,,221,,,,,,,,,,1037,,,,,,,239,,,,,,,,
Danlas,,,,,,,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Chaunac,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,
Debina,,,,,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debit,,,,,,,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deckrot,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dekabrskii ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,75,
Deliciosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Devin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,
Diagalves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156,,,,,,,,,,,,,,,
Dimrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863,,,,
Dimyat,,,,,,,2386,,,,6,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dindarella,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Diolinoir,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,112,,,,,,,
Diseca Ranina,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Doina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,,
Dolcetto,,6,,154,,,,,,,,,,,,,,,6128,,,,,,,,2,,,,,,,,,,,,,,,,42,
Dolciame,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
Domina,,,,,,,,,,,,,,,,360,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Dona Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,
Dona Joaquina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
Donzelinho Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,
Donzelinho Roxo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Donzelinho Tinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,
Doradilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,
Doral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,
Dorinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,
Dornfelder,,,,,,,,1,,,,,119,,,7920,,23,,,,,,,,,,,,,,,,,,,21,2,,,,14,1,
Dostoinyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,
Douce Noire,,18127,,,,0,,,,,,,,,,,,,815,,,,,,,,,,,,,,,,,,,,,,,,34,
Doukkali,,,,,,,,,,,,,,,,,,,,,,,,,16557,,,,,,,,,,,,,,,,,,,
Doux d'Henry,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Droujba,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Drupeggio,,,,,,,,,,,,,,,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,
Duna Gyongye,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,
Dunavski Lazur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,,,,,,,,,,,,,
Dunkelfelder,,,,,,,,2,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,24,,,,,2,,
Duras,,,,,,,,,,,,,,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durasa,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Durella,,,,,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,
Durif,,,,417,,7,,,104,,,,,,,,,,,,,,133,,,,,,,,,,,,31,,,,,,,,2865,
Edelweiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,
Egiodola,,,,,,99,,,,,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ehrenfelser,,,,,,,,29,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekigaina,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekim Kara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,
Elbling,,,,,,,,,,,,,,,,550,,,,,,370,,,,,,,,,,,,,,,,,,,,,498,
Elvira,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,
Emerald Riesling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,60,
Emir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,,,,
Enantio,,,,,,,,,,,,,,,,,,,724,,,,,,,,,,,,,,,,,,,,,,,,,
Encruzado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,
Ensanyo Tintas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,
Ensayo Blancas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Erbaluce,,,,,,,,,,,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,
Erbamat,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,
Erbanno,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ervi,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Esganacao Preto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Esganinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Espadeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,,,,,232,,,,,,,,
Espadeiro Mole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Estreito Macio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Ezerfurtu,,,,,,,,,,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezerjo,,,,,,,,,,,,,,,,,,1074,,,,,,,,,,,,,,,,,,,,,,,,,,
Faberrebe,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
Falanghina,,,,,,,,,,,,,,,,,,,3037,,,,,,,,,,,,,,,,,,,,,,,,,
Famoso,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Farinheira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Fenile,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Fepiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Fer,,207,,,,,,,,,,,,1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernao Pires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9376,,,,,,135,,,,,,,,,
Fernao Pires Rosado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,
Fertilia,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Feteasca Alba,,,,,,,,,,,,,,,,,,,,,,,,4334,,,,,,12916,,,219,,,,,,,,,,,
Feteasca Neagra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719,,,,,,,,,,,,,,
Feteasca Regala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12905,,,231,,,,,,,,,,,
Fiano,,,,,,,,,,,,,,,,,,,1377,,,,,,,,,,,,,,,,,,,,,,,,,
Fiesta,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,
Fileri,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fino De Ribera Del Fresno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,
Fintendo,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fioletovy  Ranny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,
Flame Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,
Flavis,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Flora,,,,,,6,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Fogarina,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Foglia Tonda,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,
Fogoneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,
Fokiano,,,,,,,,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folgasao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,
Folgasao Roxo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
Folha de Figueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Folle Blanche,,,,,,,,,,,,,,1770,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,
Fonte Cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,
Forastera,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,152,,,,,,,,
Forcallat Tinta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163,,,,,,,,
Forgiarin,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Forsellina,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Fortana,,,,,,,,,,,,,,,,,,,642,,,,,,,,,,,,,,,,,,,,,,,,,
Francavidda,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
Francusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,,,,,,,,,,,,,,
Frappato,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,,,,,,,,,,,,,,,,
Fredonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,
Freisa,,7,,,,1,,,,,,,,,,,,,1041,,,,,,,,,,,,,,,,,,,,,,,,,
Freisamer,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
Frontenac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,
Frontenac Gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,
FruHroter Veltliner,,,,,424,,,,,,,,217,,,0,,10,,,,,,,,,,,,,,,195,,,,,,,,,,,
Fubiano,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Fumin,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,
Furmint,,,,,9,13,,,,,172,,,,,,,4165,,,,,,,,,,,,,,,248,651,,,,,,,,,,
Gaglioppo,,,,,,,,,,,,,,,,,,,4214,,,,,,,,,,,,,,,,,,,,,,,,,
Galbena de Odobesti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,,,,,,,,,,,,,,
Galego Dourado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,3,,,,,,,,,
Galotta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
Gamaret,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,380,,,,,,,
Gamay de Teinturier Bouze,,,,,,,,,,,,,,215,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
Gamay Noir,,1,,,,16,,220,0,,,,,30443,,,,3,122,,,98,,,,,12,,0,,,,,,19,,1521,,,206,,1,,9
