Nom commune,Num_com,Viniféra de table,Miscat de hambourg,Viniféra divers de cuve,Aligoté,Altesse,Chasselas blanc,Chasselas rose,Madeleine royale,Alicantes Bouschet,Aramon noir,Aramon blanc,Cargignan noir,Cabernet sauvignon,Chenin blanc,Chardonnay,Cinaut,Clairette blanche,Clairette Rose,Folle blanche,Gamay,Gamay freau,Gamay Teinturier,Grand noir de la calmette,Grenache noir,Grolleau,Jaquère,Marsanne,Gros meslier,Malvoisie rose du po,Merlot rouge,mondeuse blanche,Mondeuse noire,Muscadelle,Muscat blanc pts grain,Petit bouchet,Pinot Gris,Pinot blanc vrai,Pinot noir,Portugais bleu,Savagnin blanc traminer,Semillon,Syrah,carignan bouschet,Chatus,Corbeau,Durif,Etraire de la dui,Gringet,Bonne roussette d'ayze,Limberger,Geuche noir,Gouais blanc,Hibou,St pierre dore,Molette blanche,Mornen noir,Olivette blanche,Persan,Roussanne,Riesling,Sylvaner,Verdesse,Servanin,Hybrides divers de cuves,Alicante terra 20,Black defiance,Rudelin divers,Baco 1,Bertille seyve divers,Burdin diverrs,Canada,Auxerrois rupestris,Hybride fournie,Castel divers,Couderc Divers,Gaillard divers,Landot divers,Oberlin divers,Ravat divers,Seibel Divers,Seyve villard divers,Rupestris du lot,5 BB teleki,44 53 M,Noah,Othello,Isabelle,Jacquez,Clinton,plantier,Cépages indéterminé,Total
Alby sur cheran,74001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,8709,,,,,,450,,,,,,10759
Allinges,74005,,,,,,9634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,750,400,,,,,,,,,,,10984
Ambilly,74008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
Annecy,74010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1671,,,,,,,,,,,,1671
Annecy le vieux,74011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,321,621
Annemasse,74012,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900
Anthy,73013,,,,,,20394,,,,,,,,,,,,,,5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692,,,,5175,,,,,,,,17920,,,,16729,1103,,,,1076,,,,,387,,69496
Archamps,74016,,,,,,2076,,,,,,,,,,,,,,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,883,10490,,,,,,,,,,,,14954
Ayse,74024,,,,820,,2640,,,,,,,,,,,,,,,,,,,,95,,,,,,1585,,,,,,,,,,,,,82,,,48987,30298,,,,,,,,,,,,,,,6480,,,,,,,,,,,,,,,,4359,,,,,,,,,,,,95346
Ballaison,74025,,,,,,98778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3247,,,,3849,,,,,,,,,,,,6265,,,,,,,,,,,3704,115843
La balme de sillingy,74026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,,,,,,,742
Bassy,74029,,,,,2149,3552,,,,,,,,,,,1633,,,3564,,,,,,1030,,,,,,57121,,,,,,,,,,,,,1993,,,,,,,,,,34728,,,,,,,,,4461,,,,,,,,,,,,,,,,21277,,,,,385,1250,,,,,,133143
Bloye,74035,,15,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,2885,,,,,,,130,175,,,33498,655,,,,1619,,,,,,,39847
Bluffy,74036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2737,,,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,492,,,,,,,,,,,,,,,,3207,,,,,,,,,,,,6996
Bonneville,74042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8217,7740,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,1815,,,,,,,,,,,,18772
Bossey,74044,,,,,,31242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23718,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,55960
Boussy,74046,,,,,220,,,,,,,,,,,,,,,300,,,,,,,,,,,,1710,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18110,,,,,,,,,,,,20440
Cercier,74051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,,,,,,,,,,,,,,,,1591,,,,,,,,,,,,2053
Cernex,74052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6255,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,8055
Chainaz les frasses,74054,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097,,,,,,,,872,,,,5790,,,,,200,,,,,,,8759
Challonges,74055,,,,,4528,3289,,,,,,,,,,,,,,28544,,,,,,800,,,,,,37703,,,,,,,,,,,,,200,,,,,,,,,,32677,,,,,,,,,520,,,,5446,220,,,,,100,200,50,,,,25417,50,,,,247,2923,,,4286,,,147200
Champanges,74057,,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,1340
Chaumont,75065,,,2455,,19806,23485,,,,,,,,,,,,,,2706,,,,,,,,,,,,13409,,,,,,,,,,,,,,,,,,,,,,,2107,,,,,,,,,10563,,,,,,,,,,,,,,,266,7987,2211,,,,,,,,,,,84995
Chene en semine,74068,,,432,,3058,225,,,,,,,,,,,,,,2826,,,,,,,,,,,,10434,,,,,,,,,,,,,,,,,,,,,,,11454,,,,,,,,,1870,,,,,,,,,,,689,,,,,3152,450,,,,6539,7154,,,,,,48283
Chenex,74069,,,,,,147,,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,,,,,,,,,,,,,,,,1091,,,,,,,,,,,,2561
Chens sur leman,74070,,,,,,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,500,,,,,,,,,,651,5831
Chessenaz,74071,,,,,5146,2490,,,,,,,,,,,,,,1483,,1020,,,,1916,,,,,,3371,,,,,,,,,,,,,,,,,,,,,,,16821,,,,,,,,,1033,,,,,,,,,,,,,1700,,1800,16734,,,,,,750,,,,,,54264
Chevrier,74074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1498,,,,,,,,,,,,1498
Chilly,74075,,,,,,300,,,,,,,,,,,,,,300,,,,,,,,,,,,1112,,,,,,,,,,,,,,,,,,,,,,,779,,,,,,,,,4853,,,,,,,,,,100,,,,,,8625,,,,,,,,,,,20362,36431
Choisy,74076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060,235,,,,,,,,,,1800,4095
Clarafond,74077,,,556,,3627,9361,76,,,,,,,,,,,,,4296,,1986,,,,261,,,,,,15271,,,,,,,,,,,,,250,,,,,,,,,,15682,,,,,,,,,27474,,,,,,,,,,,,,,,,17818,,,,,,776,,,,,300,97734
Clermont,74078,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,535,,,,,,,,,,,,,,,,,,,,,,,,,8574,,,,,,,,1500,,,,12909
Collonges sous saleve,74082,,,1061,,,4167,,,,,,,,,,,,,,1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12657,,,,,,,,,,,,,,,,13305,,,,,,,,,,,,32913
Contamine sarzin,74086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,3803,,,,,,,,,,,,,,,,3700,,,,,,,,,,,9489,17642
Contamine sur arve,74087,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,,,,,680
Copponex,74088,,,4938,,1590,,,,855,,,,,,,,,,,175,,,,,,,,,,,,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3098,,,,,,,,,,,,,,2198,,11019,,,,,,,,,,,,24899
Cranves sales,74094,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3028,,,,,,,,,,,,,,,,2168,,,,,,,,,,,,5596
Crempigny,74095,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,9200,,,,,,,,,,,,,,,,,,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,2510,,,,,,920,,,,,,17080
Cruseilles,74096,,,,,,,,,1047,,,,,,,,,,,,,,,,,,,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4019,,,,,,,,,,,,,,,,6001,,,,,,,,,,,,11987
Cusy,74097,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,800,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,665,,,,,,,2855
Desingy,74100,,190,2285,,58911,17807,,,394,174,,,,,,,,,,29210,,,140,,,218,,,,,,22841,,,,,,,,,,,,,2983,,,,,,,,,,65226,,,,,,,,,24910,,,,,,,,,,500,,,,,,15054,,,,,1470,15602,,,,,394,258309
Doussard,74104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177,,,,,,,,,,,,,,,,5027,,,,,,,,,,,,7204
Douvaine,74105,,,600,,,254890,,,,,,,,,,,,,,1127,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,71028,,,,1840,,,,,,,,,,,,4103,1590,,,,,,,,,,2058,337986
Droisy,74107,,,,,,436,,,,,,,,,,,,,,1729,,,,,,,,,,,,9857,,,,,,,,,,,,,,,,,,,,,,,4700,,,,,,,,,744,,,,617,,,,,,,,,,,,1618,,,,,,,,,,,,19701
Eloise,74109,,,,,74,2860,,,,,,,,,,,,,,2162,,,,,,,,,,,,600,,,,,,,,,,,,,387,,,,,,,,,,800,,,,,,,,,20373,,,,,,,,,,,,,,,,1932,,,,,,1336,,,,,,30524
Entrevernes,74111,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4187,,,,,,,,,,,1353,8492
Etercy,74117,,,,,1095,290,,,,,,,,,,,,,,,,,,,,815,,,,,,3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8107,,,,,,1037,,,,,,15271
Etrembrieres,74118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200
Evian les bains,74119,,,,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,400,,,,,,,,,,,4517,8717
Excenevex,74121,,,,,,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329,,,,2772,,,,,,,,,,,,4487,,,,,,,,,,,,10676
Faverges,74123,,,,,667,,,,,,,,,,,,,,,,,,,,,1723,,,,,,3877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,,,,,,,,,,,,,,,,8065,1700,,,,,,,,,,2200,19014
Feigeres,74124,,,,,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,2136,1528,,,,,884,,,3780,,2006,32771,3283,,,,,,,,,,,48122
Feternes,74127,,,,,,6319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,,,,,,,,,,,,7994
Fillinges,74128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,2245
Franclens,74130,,,,,646,176,,,,,,,,,,,,,,2852,,,,,,,,,,,,22829,,,,,,,,,,,,,,,,,,,,,,,13562,,,,,,,,,,,,,,,,,,,,,,,,,1842,,,,,,240,,,,,1652,43799
Frangy,74131,,,300,,49969,26161,,,,,,,,,,,,,,4945,,100,,,,,,,,,,25027,,,,,,,,,,,,,,,,,,,,,,,38932,,,,,143,,,,34888,,,,1523,,,,,,,,,638,,,25296,990,,,,,,,,,1200,13110,223222
Gaillard,74133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,,,,,,,,,,,,,,,,1654,,,,,,,,,,,,3494
Giez,74135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,,,,,,,,,,,,,,,10240,2467,,,,,,,,,,,15433
